NOME,SIGLA,LOGRADOURO,BAIRRO,CIDADE,UF,CEP
"Academia Militar das Agulhas Negras","AMAN","RODOVIA PRESIDENTE DUTRA, KM 306","CENTRO","Resende","RJ","27534970"
"Administração do Monumento Nacional aos Mortos da 2ª Guerra Mundial","AMNM  2ª GM","AV INF DOM HENRIQUE 75","GLORIA","Rio de Janeiro","RJ","20021140"
"Agência de Gestão e Inovação Tecnólogica","AGITEC",,,"Rio de Janeiro","RJ",
"Arquivo Histórico do Exército","AHEx","PRAÇA DUQUE DE CAXIAS, 25 - 6º ANDAR","CENTRO","Rio de Janeiro","RJ","20221260"
"Arsenal de Guerra de São Paulo","AGSP","RODOVIA MAL RONDON, KM 29","CENTRO","Barueri","SP","06442000"
"Arsenal de Guerra do Rio de Janeiro","AGR","RUA MONSENHOR MANOEL GOMES 563","CAJU","Rio de Janeiro","RJ","20931670"
"Arsenal de Guerra General Câmara","AGGC","RUA  GEN DANIEL  H. BALBÃO S/N","CENTRO","General Câmara","RS","95820000"
"Base Administrativa da Brigada de Infantaria Paraquedista","Ba Adm Bda Inf Pqdt",,,"Rio de Janeiro","RJ",
"Base Administrativa da Guarnição de Santa Maria","B Adm Gu SM","Av. Borges de Medeiros, 1515","Centro","Santa Maria","RS","97015090"
"Base Administrativa do Comando de Comunicações e Guerra Eletrônica","Ba Adm / Cmdo Com G Ex","RODOVIA DF 001 - KM 5","SETOR HABITACIONAL TAQUARI - LAGO NORTE","Brasília","DF","71559902"
"Base Administrativa do Comando de Operações Especiais","Ba Adm Cmdo Op Esp","Av. Salvador, s/nº","Jardim Guanabara I","Goiânia","GO","74675710"
"Base Administrativa do Curado","B Adm Curado",,,"Recife","PE",
"Base Administrativa do Quartel-General do Exército","Ba Adm QGEx",,,"Brasília","DF",
"Base de Administração e Apoio da 1ª Região Militar","Ba Adm Ap / 1ª RM",,,"Rio de Janeiro","RJ",
"Base de Administração e Apoio da 3ª Região Militar","Ba Adm Ap / 3ª RM","RUA SETE DE SETEMBRO, 310","CENTRO","Porto Alegre","RS","90010190"
"Base de Administração e Apoio da 5ª Divisão de Exército","Ba Adm Ap 5ª DE","RUA 31 DE MARÇO S/N","PINHEIRINHO","Curitiba","PR","81150280"
"Base de Administração e Apoio do Comando Militar do Norte","Ba Adm Ap / CMN",,,"Belém","PA",
"Base de Administração e Apoio do Comando Militar do Oeste","Ba Adm Ap / CMO",,,"Campo Grande","MS",
"Base de Administração e Apoio do Comando Militar do Planalto","B Adm Ap CMP","AVENIDA DO EXÉRCITO S/N","SETOR MILITAR URBANO","Brasília","DF","70630901"
"Base de Administração e Apoio do Ibirapuera","Ba Adm Ap IBIRAPUERA","Rua Manuel da Nóbrega, 1015","Paraíso","São Paulo","SP","04001084"
"Base de Apoio Regional de Ilhéus","Ba Ap R Ilhéus",,,"Ilhéus","BA",
"Base de Aviação de Taubaté","Ba Av T","ESTRADA DOS REMÉDIOS, 2135","ITAIM","Taubaté","SP","12086000"
"Batalhão da Guarda Presidencial","BGP","AV. DUQUE DE CAXIAS S/N","SMU","Brasília","DF","70630000"
"Batalhão de Apoio às Operações Especiais","B Ap Op Esp",,,"Goiânia","GO",
"Batalhão de Comando e Serviços da Escola de Sargentos das Armas","BCSv/ESA",,,"Três Corações","MG",
"Batalhão de Comando Serviços da  Academia Militar das Agulhas Negras","BCSv/AMAN",,,"Resende","RJ","27534970"
"Batalhão de Dobragem, Manutenção de Pára-Quedas e Suprimento Pelo Ar","B DOMPSA","GEN FONSECA RAMOS, S/N","VILA MILITAR","Rio de Janeiro","RJ","21615110"
"Batalhão de Infantaria de Força de Paz","BI F Paz",,,"Brasília","DF",
"Batalhão de Manutenção e Suprimento","BCMS","ESTR SAO PEDRO ALCANTARA, 3506","MAGALHÃES  BASTOS","Rio de Janeiro","RJ","21735310"
"Batalhão de Manutenção e Suprimento de Armamento","BMSA",,,"Rio de Janeiro","RJ",
"Batalhão de Manutenção e Suprimento de Aviação do Exército","B Mnt Sup Av Ex","ESTRADA DOS REMÉDIOS, n° 2135","ITAIM","Taubaté","SP","12086000"
"Batalhão de Polícia do Exército de Brasília","BPEB","AV. DUQUE DE CAXIAS, S/N","SETOR MILITAR URBANO","Brasília","DF","71630000"
"Batalhão Escola de Comunicações","B Es Com","AV DUQUE DE CAXIAS NR 2940","VILA MILITAR","Rio de Janeiro","RJ","21615220"
"Bateria Comando 1ª Brigada de Artilharia Antiaérea","Bia Cmdo 1ª Bda AAAe","PRAIA DO MONDUBA, S/N","GUAIUBA","Guarujá","SP","11401970"
"Bateria de Comando da Artilharia Divisionária da 3ª DE","Bia Cmdo AD / 3","RUA PADRE PACHECO, 0100","FÁTIMA","Cruz Alta","RS","98035450"
"Bateria de Comando da Artilharia Divisionária da 5ª DE","Bia Cmdo AD / 5","AV MARECHAL FLORIANO PEIXOTO, 9190","BOQUEIRÃO","Curitiba","PR","81730000"
"Bateria de Comando da Artilharia Divisionária 1ª De","Bia Cmdo AD / 1","Estrada General Eurico Gaspar Dutra, S/Nr - Fortaleza de Santa Cruz","Jurujuba","Niterói","RJ","24110340"
"Bateria de Comando do Comando de Artilharia do Exército","Bia Cmdo Cmdo Art Ex","AV UNISSINOS, 100","CRISTO REI","São Leopoldo","RS","93022000"
"Bateria de Comando e Serviços da Fortaleza de São João","Bia C Sv / FSJ","Avenida João Luís Alves, s/nº - Fortaleza de São João","Urca","Rio de Janeiro","RJ","22291090"
"Biblioteca do Exército","BIBLIEx","PRAÇA DUQUE DE CAXIAS, 25 , 3 PAV","CENTRO","Rio de Janeiro","RJ","20221260"
"Campo de Instrução Barão de São Borja","CIBSB","Vila Corte, s/nº","1º Distrito","Rosário do Sul","RS","97590000"
"Campo de Instrução de Betione","CI BETIONE","RODOVIA  MS 339  -  KM 17","ZONA RURAL","Miranda","MS","79380000"
"Campo de Instrução de Butiá","CIB","ZONA RURAL",,"Butiá","RS","96750000"
"Campo de Instrução de Gericinó","CIG","ESTRADA SÃO PEDRO DE ALCÂNTARA, 2856","MAGALHÃES BASTOS","Rio de Janeiro","RJ","21615310"
"Campo de Instrução de Juiz de Fora / Centro de Edu Ambiental e Cultura","CIJF/ CEAC","ESTRADA RIBEIRÃO DAS ROSAS","BARBOSA LAGE","Juiz de Fora","MG","36085000"
"Campo de Instrução de Rincão","CIR","ZONA RURAL","PRIMEIRO DISTRITO","São Borja","RS","97670000"
"Campo de Instrução de Santa Maria","CISM","AV DO EXÉRCITO, S/N","BOI MORTO","Santa Maria","RS","97030110"
"Campo de Instrução Marechal Hermes","CIMH","AVENIDA RIGESA, S/N - ÁREA MILITAR","CENTRO","Três Barras","SC","89490000"
"Campo de Instrução Marechal Newton Cavalcanti","C I M N C","AV VISCONDE DE SÃO LEOPOLDO, Lado Par, nº 198,","VÁRZEA","Recife","PE","50740035"
"Centro Conjunto de Operações de Paz do Brasil","CCOPAB","Endereço da OM","Bairro","Rio de Janeiro","RJ",
"Centro de Adestramento - Sul","CA Sul",,,"Santa Maria","RS",
"Centro de Adestramento-Leste","CA-Leste","AV DUQUE DE CAXIAS, 700","DEODORO","Rio de Janeiro","RJ","21615220"
"Centro de Avaliações do Exército","CAEx","ESTRADA ROBERTO BURLE MARX, 9140","BARRA DE GUARATIBA","Rio de Janeiro","RJ","23020240"
"Centro de Capacitação Física do Exército / Fortaleza de São João","CCFEx / FSJ","Av João Luiz Alves, S Nr - Fortaleza de São João","Urca","Rio de Janeiro","RJ",
"Centro de Comunicação Social do Exército","CComSEx","Q G EX-BLOCO B - 1º ANDAR","S M U","Brasília","DF","70630901"
"Centro de Controle Interno do Exército","CCIEx",,,"Brasília","DF",
"Centro de Defesa Cibernética","CDCiber",,,"Brasília","DF",
"Centro de Desenvolvimento de Sistemas","CDS","QGEx - Bloco G - 2º Piso","SMU","Brasília","DF","70630901"
"Centro De Educação A Distáncia Do Exército","CEADEx",,,"Rio de Janeiro","RJ",
"Centro de Embarcações do Comando Militar da Amazonia","CECMA","AV CORONEL TEIXEIRA, 6123","PONTA NEGRA","Manaus","AM","69037000"
"Centro de Estudos de Pessoal","CEP","PRAÇA  ALMIRANTE JÚLIO DE NORONHA S/N","LEME","Rio de Janeiro","RJ","22010020"
"Centro De Idiomas Do Exército","CIdEx",,,"Rio de Janeiro","RJ",
"Centro de Instrução de Artilharia de Mísseis e Foguetes","CI Art Msl Fgt",,,"Formosa","GO",
"Centro de Instrução de Aviação do Exército","CIAvEx","ESTRADA DOS REMÉDIOS, 2135","ITAIM","Taubaté","SP","12086000"
"Centro de Instrução de Blindados","CIBld","Av do Exército nº 2650","Boi Morto","Santa Maria","RS","97030110"
"Centro de Instrução de Guerra Eletrônica","CIGE","RODOVIA - DF 001 - KM 5","SETOR HABITACIONAL TAQUARI","Brasília","DF","71559902"
"Centro de Instrução de Guerra Na Selva","CIGS","ESTRADA DA PONTA NEGRA, 750","SÃO JORGE","Manaus","AM","69033010"
"Centro de Instrução de Operações Especiais","CIOpEsp","Av. do Forte S/N, Forte Imbuhy","Piratininga","Niterói","RJ","24358395"
"Centro de Instrução Pára - Quedista General Penha Brasil","CI Pqdt GPB","AV BENEDITO DA SILVEIRA S/N","VILA MILITAR","Rio de Janeiro","RJ","21615000"
"Centro de Inteligência do Exército","CIE","AV. DUQUE DE CAXIAS S/N - AI/GAB CMT EX","SMU","Brasília","DF","70630100"
"Centro de Logística de Mísseis e Foguetes","C Log Msl Fgt",,,"Formosa","GO",
"Centro de Pagamento do Exército","CPEx","Quartel-General do Exército (QGEx) - Bloco I - 4º andar","Setor Militar Urbano","Brasília","DF","70630904"
"Centro de Preparação de Oficiais da Reserva / Colégio Militar - B H","CPOR  / CM - BH","AV MAL ESPIRIDIÃO ROSAS, 400","SÃO FRANCISCO","Belo Horizonte","MG","31255000"
"Centro de Preparação de Oficiais da Reserva de Porto Alegre","CPOR / PA","RUA CORREA LIMA, 140","MENINO DEUS","Porto Alegre","RS","90850250"
"Centro de Preparação de Oficiais da Reserva de Recife","CPOR / R","AV 17 DE AGOSTO, 1020","CASA FORTE","Recife","PE","52060590"
"Centro de Preparação de Oficiais da Reserva de São Paulo","CPOR / SP","RUA ALFREDO PUJOL, 681","SANTANA","São Paulo","SP","02017011"
"Centro de Preparação de Oficiais da Reserva do Rio de Janeiro","CPOR / RJ","AV BRASIL, 5292","BONSUCESSO","Rio de Janeiro","RJ","21040361"
"Centro De Psicologia Aplicada Do Exército","CPAEx",,,"Rio de Janeiro","RJ",
"Centro General Ernani Ayrosa","CGEA","ESTRADA JERÔNIMO FERREIRA  ALVES, 1701","ITAIPAVA","Petrópolis","RJ","25740040"
"Centro Integrado de Telemática do Exército","CITEx","AV DUQUE DE CAXIAS S/N","S M U","Brasília","DF","70630100"
"Centro Tecnológico do Exército","CTEx","AV DAS AMÉRICAS, 28705","B. GUARATIBA","Rio de Janeiro","RJ","23020470"
"Colégio Militar de Belém","CMBel","Avenida Almirante Barroso, 4348","Marco","Belém","PA","66093020"
"Colégio Militar de Brasília","CMB","S G A N - 902 / 904","ASA NORTE","Brasília","DF","70790025"
"Colégio Militar de Campo Grande","CMCG","AV PRESIDENTE VARGAS, 2800","SANTA CARMÉLIA","Campo Grande","MS","79115810"
"Colégio Militar de Curitiba","CMC","PRAÇA CONSELHEIRO ThOMAZ COELHO, 1","TARUMÃ","Curitiba","PR","82800030"
"Colégio Militar de Fortaleza","CMF","AV SANTOS DUMONT S/N","ALDEOTA","Fortaleza","CE","60150160"
"Colégio Militar de Juiz de Fora","CMJF","AV PRES JUSCELINO KUBITSCHEK, 5200","NOVA ERA","Juiz de Fora","MG","36087000"
"Colégio Militar de Manaus","CMM","RUA JOSE CLEMENTE, 157","CENTRO","Manaus","AM","69010070"
"Colégio Militar de Porto Alegre","CMPA","AV JOSÉ BONIFÁCIO, 363","FARROUPILHA","Porto Alegre","RS","90040130"
"Colégio Militar de Recife","CMR","AV VISCONDE DE SÃO LEOPOLDO, 198","ENGENHO DO MEIO","Recife","PE","50730120"
"Colégio Militar de Santa Maria","CMSM","RUA RADIALISTA OSVALDO NOBRE, 1132","JUSCELINO KUBITSCHEK","Santa Maria","RS","97035000"
"Colégio Militar do Rio de Janeiro","CMRJ","RUA SÃO FRANCISCO XAVIER, 267","TIJUCA","Rio de Janeiro","RJ","20550010"
"Comando da  7ª Brigada de Infantaria Motorizada","Cmdo 7ª Bda Inf Mtz","AV. HERMES DA FONSECA, 1415","TIROL","Natal","RN","59015145"
"Comando da Artilharia Divisionária da 1ª Divisão de Exército","Cmdo AD / 1","Estrada General Eurico Gaspar Dutra - Fortaleza de Santa Cruz da Barra","Jurujuba","Niterói","RJ","24370370"
"Comando da Artilharia Divisionária da 3ª Divisão de Exército","Cmdo AD / 3","RUA GEN OSORIO, 1050","CENTRO","Cruz Alta","RS","98005150"
"Comando da Artilharia Divisionária da 5ª Divisão de Exército","Cmdo AD / 5","RUA 31 DE MARÇO, S/Nº","PINHEIRINHO","Curitiba","PR","81150900"
"Comando da Base de Apoio Logístico do Exército","Cmdo Ba Ap Log Ex","Av. Brasil Nº 25540","Deodoro","Rio de Janeiro","RJ","21615334"
"Comando da Brigada de Força de Paz","Cmdo Bda F Paz",,,"Brasília","DF",
"Comando da Brigada de Infantaria Pára-Quedista","Cmdo Bda Inf Pqdt","AV GEN BENEDITO DA SILVEIRA S/N","VILA MILITAR","Rio de Janeiro","RJ","21615000"
"Comando da 1ª Brigada de Artilharia Antiaérea","Cmdo 1ª Bda AAAe","PRAIA DO MONDUBA, S/N","GUAIUBA","Guarujá","SP","11401970"
"Comando da 1ª Brigada de Cavalaria Mecanizada","Cmdo 1ª Bda C Mec","AV JULIO DE CASTILHOS, 137","CENTRO","Santiago","RS","97700000"
"Comando da 1ª Brigada de Infantaria de Selva","Cmdo 1ª Bda Inf Sl","AV MARQUÊS DE POMBAL S/N - SETOR MILITAR","13 DE SETEMBRO","Boa Vista","RR","69308481"
"Comando da 1ª Divisão de Exército","Cmdo 1ª DE","AV DUQUE DE CAXIAS, 1965","VILA MILITAR","Rio de Janeiro","RJ","21615220"
"Comando da 1ª Região Militar","Cmdo 1ª RM","PRAÇA DUQUE DE CAXIAS, 25","CENTRO","Rio de Janeiro","RJ","20221260"
"Comando da 10ª Brigada de Infantaria Motorizada","Cmdo 10ª Bda Inf Mtz","Avenida Getúlio Vargas S/N (Rod BR-232, KM 06)","Curado","Recife","PE","50950903"
"Comando da 10ª Região Militar","Cmdo 10ª RM","AV ALBERTO NEPOMUCENO S/N","CENTRO","Fortaleza","CE","60055000"
"Comando da 11ª Brigada de Infantaria Leve","Cmdo 11ª Bda Inf  L","Av Soldado Passarinho snr","Jd Chapadão","Campinas","SP","13070115"
"Comando da 11ª Região Militar","Cmdo 11ª RM","AV. DO EXERCITO, S/N","SETOR MILITAR URBANO (SMU)","Brasília","DF","70630903"
"Comando da 12ª Brigada de Infantaria Leve (Aeromóvel)","Cmdo 12ª  Bda Inf L (Amv)","RUA MARQUÊS DO HERVAL, 109","CENTRO","Caçapava","SP","12281510"
"Comando da 12ª Região Militar","Cmdo 12ª RM","AV DOS EXPEDICIONÁRIOS, 1944","PONTA NEGRA","Manaus","AM","69037000"
"Comando da 13ª Brigada de Infantaria Motorizada","Cmdo 13ª Bda Inf Mtz","AV RUBENS DE MENDONÇA, 5001","C P A","Cuiabá","MT","78050901"
"Comando da 14ª Brigada de Infantaria Motorizada","Cmdo 14ª Bda Inf Mtz","RUA BOCAIUVA, 1858","CENTRO","Florianópolis","SC","88015530"
"Comando da 15ª Brigada de Infantaria Mecanizada","Cmdo 15ª Bda Inf Mec","RUA RIO DE JANEIRO, 229","CENTRO","Cascavel","PR",
"Comando da 16ª Brigada de Infantaria de Selva","Cmdo 16ª Bda Inf Sl","ESTRADA DO AEROPORTO, 4174","AEROPORTO","Tefé","AM","69470000"
"Comando da 17ª Brigada de Infantaria de Selva","Cmdo 17ª Bda Inf Sl","RUA DUQUE DE CAXIAS, 935","CAIARI","Porto Velho","RO","78900040"
"Comando da 18ª Brigada de Infantaria de Fronteira","Cmdo 18ª Bda Inf Fron","AV GENERAL RONDON, 1735","CENTRO","Corumbá","MS","79331900"
"Comando da 2ª Brigada de Cavalaria Mecanizada","Cmdo 2ª Bda C Mec","Rua Padre Anchieta s/nº","CABO LUIS QUEVEDO","Uruguaiana","RS","97503656"
"Comando da 2 Brigada de Infantaria de Selva","Cmdo 2ª Bda Inf Sl","ÁREA CAP NOBUO OBA - S/Nº","CACHOEIRINHA","São Gabriel da Cachoeira","AM","69750000"
"Comando da 2ª Divisão de Exército","Cmdo 2ª DE","AV SGT MARIO KOZEL FILHO, 222","PARAÍSO","São Paulo","SP","04005903"
"Comando da 2ª Região Militar","Cmdo 2ª RM","AV SGT MARIO KOZEL FILHO, 222","IBIRAPUERA","São Paulo","SP","04005903"
"Comando da 22ª Brigada de Infantaria de Selva","Cmdo 22ª Bda Inf Sl",,,"Macapá","AP",
"Comando da 23ª Brigada de Infantaria de Selva","Cmdo 23ª Bda Inf Sl","FOLHA 23, QUADRA ESPECIAL","NOVA MARABA","Marabá","PA","68509630"
"Comando da 3ª Brigada de Cavalaria Mecanizada","Cmdo 3ª Bda C Mec","AV GEN JOAO TELLES, 1001","CENTRO","Bagé","RS","96400030"
"Comando da 3ª Brigada de Infantaria Motorizada","Cmdo 3ª Bda Inf Mtz","RUA VISCONDE DE MAUÁ S/N","VILA MILITAR","Cristalina","GO","73850000"
"Comando da 3ª Divisão de Exército","Cmdo 3ª DE","RUA DR BOZANO, 15","BOMFIM","Santa Maria","RS","97015001"
"Comando da 3ª Região Militar","Cmdo 3ª RM","RUA DOS ANDRADAS, 562","CENTRO","Porto Alegre","RS","90029900"
"Comando da 4ª Brigada de Cavalaria Mecanizada","Cmdo 4ª Bda C Mec","AV GUAICURUS, 8000","ZONA RURAL","Dourados","MS","79823900"
"Comando da 4ª Brigada de Infantaria Leve Montanha","Cmdo 4ª Bda Inf L Mth","RUA MARIANO PROCÓPIO, 970","MARIANO PROCÓPIO","Juiz de Fora","MG",
"Comando da 4ª Região Militar","Cmdo 4ª RM","AV. RAJA GABAGLIA, 450","GUTIERREZ","Belo Horizonte","MG","30441070"
"Comando da 5ª Brigada de Cavalaria  Blindada","Cmdo 5ª Bda C Bld","PRAÇA MARECHAL FLORIANO PEIXOTO, 149","CENTRO","Ponta Grossa","PR","84010909"
"Comando da 5ª Divisão de Exército","Cmdo 5ª D E","RUA 31 DE MARÇO S/N","Pinheirinho","Curitiba","PR","81150900"
"Comando da 5ª Região Militar","Cmdo 5ª RM","RUA 31 DE MARÇO S/N","PINHEIRINHO","Curitiba","PR","81150900"
"Comando da 6ª Brigada de Infantaria Blindada","Cmdo 6ª Bda Inf Bld","AV BORGES DE MEDEIROS, 1515","CENTRO","Santa Maria","RS","97015090"
"Comando da 6ª Divisão de Exército","Cmdo 6ª DE","RUA DOS ANDRADAS 562 - 1º ANDAR","CENTRO","Porto Alegre","RS","90029900"
"Comando da 6ª Região Militar","Cmdo 6ª RM","PRAÇA DUQUE DE CAXIAS S/N","MOURARIA","Salvador","BA","40040110"
"Comando da 7ª Região Militar","Cmdo 7ª RM",,,"Recife","PE",
"Comando da 8ª Brigada de Infantaria Motorizada","Cmdo 8ª Bda Inf Mtz","AV ZEFERINO COSTA, 5000","PESTANO","Pelotas","RS","96070480"
"Comando da 8ª Região Militar","Cmdo 8ª RM","Rua João Diogo, 458","Centro","Belém","PA","66015160"
"Comando da 9ª Região Militar","Cmdo 9ª RM","AV DUQUE DE CAXIAS, 1628","ALBA","Campo Grande","MS","79100900"
"Comando de Artilharia do Exército","Cmdo Art Ex","RUA DOS ANDRADAS, 562 - 1 ANDAR","CENTRO","Porto Alegre","RS","90029900"
"Comando de Comunicações e Guerra Eletrônica do Exército","Cmdo Com G Ex","RODOVIA DF 001 - KM 05","SETOR HABITACIONAL TAQUARI - LAGO NORTE","Brasília","DF","71559902"
"Comando de Defesa Cibernética","Cmdo DCiber",,,"Brasília","DF",
"Comando de Fronteira -  Amapá e 34º Batalhão de Infantaria de Selva","Cmdo Fron AMAPA / 34º BIS","AV. PADRE JULIO LOMBAERD,4301","ALVORADA","Macapá","AP","68906740"
"Comando de Fronteira - Acre e 4º Batalhão de Infantaria de Selva","Cmdo Fron ACRE / 4º BIS","RUA COLOMBIA S/N","BOSQUE","Rio Branco","AC","69909700"
"Comando de Fronteira - Rio Negro e 5º Batalhão de Infantaria de Selva","Cmdo Fron R NEGRO / 5º BIS","AV CAP JOSÉ SILVA DELGADO,1761","CACHOEIRINHA","São Gabriel da Cachoeira","AM","69750000"
"Comando de Fronteira - Rondônia e 6º Batalhão de Infantaria de Selva","Cmdo Fron RONDONIA / 6º BIS","Av. LEOPOLDO DE MATOS,  nº 2329","Tamandaré","Guajará-Mirim","RO","76850000"
"Comando de Fronteira - Roraima e 7º Batalhão de Infantaria de Selva","Cmdo Fron RORAIMA / 7º BIS","AV GEN SAMPAIO","PRICUMÃ","Boa Vista","RR","69308150"
"Comando de Fronteira - Solimões e 8º Batalhão de Infantaria de Selva","Cmdo Fron SOLIMÕES / 8º B I S","PRACA COLÔMBIA, S/N","CENTRO","Tabatinga","AM","69640000"
"Comando de Operações Terrestres","COTER","Q G EX - BLOCO H - 2º ANDAR","S M U","Brasília","DF","70630901"
"Comando do Comando de Aviação do Exército","Cmdo Cmdo Av Ex","ESTRADA DOS REMÉDIOS, 2135","ITAIM","Taubaté","SP","12086000"
"Comando do Comando de Operações Especiais","Cmdo Cmdo Op Esp","Av Salvador S/N","Jardim Guanabara","Goiânia","GO","74675710"
"Comando do Comando Militar da Amazônia","Cmdo CMA","AV DOS EXPEDICIONÁRIOS, 4715","PONTA NEGRA","Manaus","AM","69037000"
"Comando do Comando Militar do Leste","Cmdo CML","PALACIO DUQUE DE CAXIAS, 25 - 9º ANDAR","CENTRO","Rio de Janeiro","RJ","20221260"
"Comando do Comando Militar do Nordeste","Cmdo CMNE","RODOVIA BR 232 - KM 12","CURADO","Recife","PE","50950000"
"Comando do Comando Militar do Norte","Cmdo CMN","Rua João Diogo, 458","Centro","Belém","PA","66015160"
"Comando do Comando Militar do Oeste","Cmdo CMO","Avenida Duque de Caxias 1628","Amambaí","Campo Grande","MS","79100900"
"Comando do Comando Militar do Planalto","Cmdo CMP","AVENIDA DO EXERCITO, S/Nr, 3Â° ANDAR","SETOR MILITAR URBANO (SMU)","Brasília","DF","70630903"
"Comando do Comando Militar do Sudeste","Cmdo CMSE","AV SGT MARIO KOZEL FILHO, 222","IBIRAPUERA","São Paulo","SP","04005903"
"Comando do Comando Militar do Sul","Cmdo CMS","RUA DOS ANDRADAS, 562 - 4º ANDAR","CENTRO","Porto Alegre","RS","90020002"
"Comando do Gpto de Unidades-Escola/9ª Brigada de Infantaria Motorizada","Cmdo GUEs / 9ª Bda Inf Mtz","Rua Bernardo de Vasconcelos, 1090","Realengo","Rio de Janeiro","RJ","21710260"
"Comando do 1º Grupamento de Engenharia","Cmdo 1º Gpt E","Avenida Presidente Epitácio Pessoa, 2205","Bairro dos Estados","João Pessoa","PB","58030909"
"Comando do 2º Grupamento de Engenharia","Cmdo 2º Gpt E","Avenida Coronel TEIXEIRA, nº 5513","PONTA NEGRA","Manaus","AM","69037000"
"Comando do 3º Grupamento Logístico","CMDO 3º GPT LOG",,,"Porto Alegre","RS",
"Comando do 4º Grupamento de Engenharia","Cmdo 4º Gpt E",,,"Porto Alegre","RS",
"Comando do 5º Grupamento de Engenharia","Cmdo 5º GPT E",,,"Rio de Janeiro","RJ",
"Comando Logístico","COLOG","QGEx  -  Bloco","SMU","Brasília","DF","70630901"
"Comando 9º Grupamento Logístico","CMDO 9º GPT LOG",,,"Campo Grande","MS",
"Comissão de Desportos do Exército","CDE","AV JOAO LUIZ ALVES S/N","URCA","Rio de Janeiro","RJ","22291090"
"Comissão de Obras do 3º Grupamento de Engenharia","CO/3ª Gpt E","RUA SILVEIRA MARTINS, 373","VILA  ALBA","Campo Grande","MS","79100450"
"Comissão do Exército Brasileiro em Washington","CEBW","N 4632 WISCONSIN AVENUE, NW","CENTRO","Brasília","DF","     000"
"Comissão Regional de Obras da 1ª Região Militar","CRO / 1ª RM","PRAÇA DUQUE DE CAXIAS, 25-ALA M DIAS","CENTRO","Rio de Janeiro","RJ","20221260"
"Comissão Regional de Obras da 11ª Região Militar","CRO / 11ª RM","QGEX SETOR DE GARAGENS","S M U","Brasília","DF","70630901"
"Comissão Regional de Obras da 12ª Região Militar","CRO / 12ª RM","AV DOS EXPEDICIONÁRIOS, 2061","PONTA NEGRA","Manaus","AM","69037000"
"Comissão Regional de Obras da 2ª Região Militar","CRO / 2ª RM","RUA DA INDEPENDENCIA Nº 632 - BLOCO III","CAMBUCI","São Paulo","SP","01524000"
"Comissão Regional de Obras da 3ª Região Militar","CRO / 3ª RM","RUA SETE DE SETEMBRO, 332","CENTRO","Porto Alegre","RS","90010190"
"Comissão Regional de Obras da 5ª Região Militar","CRO / 5ª RM","RUA 31 DE MARÇO, S/Nº","PINHEIRINHO","Curitiba","PR","81150900"
"Comissão Regional de Obras da 7ª Região Militar","CRO / 7ª RM","AV NORTE MIGUEL ARRAES DE ALENCAR, 245","SANTO AMARO","Recife","PE","50040200"
"Comissão Regional de Obras da 8ª Região Militar","CRO / 8ª RM","Av. Almirante Barroso, nº 4531","SOUZA","Belém","PA","66613710"
"Comissão Regional de Obras da 9ª Região Militar","CRO / 9ª RM","RUA SILVEIRA MARTINS, 373","VILA  ALBA","Campo Grande","MS","79100450"
"Companhia de Comando da Base de Apoio Logístico do Exército","Cia Cmdo Ba Ap Log Ex","Av Brasil, Nr 25540","Deodoro","Rio de Janeiro","RJ","21615331"
"Companhia de Comando da Brigada de Infantaria Pára-Quedista","Cia Cmdo Bda Inf Pqdt","RUA GEN BENEDITO DA SILVEIRA S/N","VILA MILITAR","Rio de Janeiro","RJ","21615000"
"Companhia de Comando da 1ª Brigada de Infantaria de Selva","Cia Cmdo 1ª Bda Inf Sl","RUA MARQUÊS DE POMBAL S/N","SETOR MILITAR MAL RONDON","Boa Vista","RR","69312470"
"Companhia de Comando da 1ª Divisão de Exército","Cia Cmdo 1ª DE","AV DUQUE DE CAXIAS, 1965","VILA MILITAR","Rio de Janeiro","RJ","21615220"
"Companhia de Comando da 1ª Região Militar","Cia Cmdo 1ª RM","PRAÇA DUQUE DE CAXIAS, 25-3º ANDAR-ALA VISCONDE DA GÁVEA","CENTRO","Rio de Janeiro","RJ","20221260"
"Companhia de Comando da 10ª Brigada de Infantaria Motorizada","Cia Cmdo 10ª Bda Inf Mtz","RODOVIA BR-232 KM 6","CURADO","Recife","PE","50790540"
"Companhia de Comando da 10ª Região Militar","Cia Cmdo 10ª RM","AV ALBERTO NEPOMUCENO S/N","CENTRO","Fortaleza","CE","60055970"
"Companhia de Comando da 11ª Brigada de Infantaria Leve G L O","Cia Cmdo 11ª Bda Inf L GLO","AV SD PASSARINHO Nº 1601","FAZ CHAPADÃO","Campinas","SP","13065830"
"Companhia de Comando da 12ª Brigada de Infantaria Leve (Aeromóvel)","Cia Cmdo 12ª Bda Inf L (AMV)","RUA JOSÉ BONIFÁCIO, 33","CENTRO","Caçapava","SP","12280000"
"Companhia de Comando da 12ª Região Militar","Cia Cmdo 12ª RM","AV DOS EXPEDICIONARIOS, 6155","PONTA NEGRA","Manaus","AM","69037050"
"Companhia de Comando da 13ª Brigada de Infantaria Motorizada","Cia Cmdo 13ª Bda Inf Mtz","AV RUBENS DE MENDONCA, 5001","CPA","Cuiabá","MT","78008000"
"Companhia de Comando da 14ª Brigada de Infantaria Motorizada","Cia Cmdo 14ª Bda Inf Mtz","RUA BOCAIUVA, 1858","CENTRO","Florianópolis","SC","88015530"
