NOME,SIGLA,LOGRADOURO,BAIRRO,CIDADE,UF,CEP
"27ª Delegacia do Serviço Militar da 15ª C S M","27ª Del SM / 15ª CSM","RUA UBALDINO DO AMARAL, 1701","CRISTO REI","Curitiba","PR","80520070"
"27º Grupo de Artilharia de Campanha","27º GAC","RUA MAL MALLET S/N","PENHA","Ijuí","RS","98700000"
"28º Batalhão de Caçadores","28º BC","RUA TEN JANSEN MELO S/N","18 DO FORTE","Aracaju","SE","49072350"
"28º Batalhão de Infantaria Leve","28º BIL","AV SD PASSARINHO, Nº 3628","FAZ CHAPADÃO","Campinas","SP","13070115"
"28º Batalhão Logístico","28º B Log","AV GUAICURUS, 9000","ZONA RURAL","Dourados","MS","79804970"
"28º Grupo de Artilharia de Campanha","28º GAC","Rodovia Luiz Rosso, s/nº","Primeira Linha","Criciúma","SC","88803470"
"29º Batalhão de Infantaria Blindado","29º BIB","AV EXERCITO S/N","BOI MORTO","Santa Maria","RS","97030110"
"29ª Circunscrição de Serviço Militar","29ª CSM","RUA BERNARDO RAMOS, 253 - PRAÇA D PEDRO II","CENTRO","Manaus","AM","69005320"
"29º Grupo de Artilharia de Campanha Autopropulsado","29º GAC / AP","RUA PADRE PACHECO, 100","B. DE FÁTIMA","Cruz Alta","RS","98030450"
"3º Batalhão de Aviação do Exército","3º B Av Ex","Avenida Wilson Paes de Barros, 300","Vila Nova Campo Grande","Campo Grande","MS","79140110"
"3° Batalhão de Comunicações","3° B Com","Avenida da Serraria, n° 2680","Espírito Santo","Porto Alegre","RS","91770010"
"3º Batalhão de Engenharia de Combate","3º BE Cmb","RUA MARQUES RIBEIRO S/Nr","MARQUES RIBEIRO","Cachoeira do Sul","RS","96508160"
"3º Batalhão de Engenharia de Construção","3º BEC","BR 316 - KM 06","UNHA DE GATO","Picos","PI","64606000"
"3º Batalhão de Infantaria de Selva","3º BIS",,,"Barcelos","AM",
"3º Batalhão de Polícia do Exército","3º BPE","RUA CORREA LIMA, 550","SANTA TEREZA","Porto Alegre","RS","90850250"
"3º Batalhão de Suprimento","3º B Sup","ESTRADA DE MORRETES, S/N","MORRETES","Nova Santa Rita","RS","92480000"
"3º Batalhão Logístico","3º B Log","RUA 20 DE SETEMBRO, 1055","CENTRO","Bagé","RS","96400050"
"3ª Bateria De Artilharia Antiaérea","3ª Bia AAAe","Av. Capitão Olinto Mancine nº 1317","Jardim Primaveril","Três Lagoas","MS","79603010"
"3º Centro de Geoinformação","3º CGEO","AV JOAQUIM NABUCO, 1687","GUADALUPE","Olinda","PE","53240650"
"3º Centro de Telemática de Área","3º CTA","RUA DA INDEPENDÊNCIA, 632","CAMBUCI","São Paulo","SP","01524000"
"3ª Companhia de Comunicações Blindada","3ª Cia Com Bld","AV BORGES DE MEDEIROS, 1515","CENTRO","Santa Maria","RS","97015090"
"3ª Companhia de Engenharia de Combate Mecanizada","3ª Cia E Cmb Mec","RUA ANDRADE NEVES S/N","GETÚLIO VARGAS","Dom Pedrito","RS","96450000"
"3ª Companhia de Forças Especiais","3ª Cia F Esp","Avenida Coronel Teixeira, 8148","Compensa","Manaus","AM","69037000"
"3ª Companhia de Inteligência","3ª Cia Intlg","AV. SGT MARIO KOZEL FILHO, 222","PARAÍSO","São Paulo","SP","04095900"
"3ª Companhia do 63º Batalhão de Infantaria","3ª Cia / 63º BI","RUA LAURO MULLER, 2327","PASSAGEM","Tubarão","SC","88705101"
"3ª Delegacia do Serviço Militar da  24ª C S M","3ª Del SM / 24ª C S M","RUA PREF. MANUEL P. MONTENEGRO, 114","CENTRO","Açu","RN","59650000"
"3ª Delegacia do Serviço Militar da 10ª CSM","3ª Del SM / 10ª C S M","RUA VALE MACHADO, 1387","CENTRO","Santa Maria","RS","97010530"
"3ª Delegacia do Serviço Militar da 11ª C S M","3ª Del SM / 11ª CSM","RUA PERNAMBUCO, 342 SL 12 E 13","CENTRO","Divinópolis","MG","35500008"
"3ª Delegacia do Serviço Militar da 12ª C S M","3ª Del SM / 12ª CSM","PRAÇA RUI BARBOSA, 26","CENTRO","Araçuaí","MG","39600000"
"3ª Delegacia do Serviço Militar da 13ª C S M","3ª Del SM / 13ª CSM","RUA SÃO PAULO, 269","SOBRADO","Varginha","MG","37100000"
"3ª Delegacia do Serviço Militar da 14ª C S M","3ª Del SM / 14ª CSM","RUA THEOFILO LEME, 1240","CENTRO","Bragança Paulista","SP","12900000"
"3ª Delegacia do Serviço Militar da 15ª C S M","3ª Del SM / 15ª CSM","AVENIDA TUIUTI, 180 - 2° PISO"," RODOVIÁRIA NOVA","Maringá","PR","87013230"
"3ª Delegacia do Serviço Militar da 17ª C S M","3ª Del SM / 17ª CSM","PRAÇA ALFREDO ARAUJO, 11","CENTRO","Alagoinhas","BA","48100000"
"3ª Delegacia do Serviço Militar da 18ª C S M","3ª Del SM / 18ª CSM","RUA MILTON MUNIZ, 17","CENTRO","Jequié","BA","45200000"
"3ª Delegacia do Serviço Militar da 19ª C S M","3ª Del SM / 19ª CSM","TRAVESSA PAULINO MENEZES, 21","CENTRO","Itabaiana","SE","49500000"
"3ª Delegacia do Serviço Militar da 2ª C S M","3ª Del SM / 2ª CSM","RUA MACHADO DE ASSIS, 111","CENTRO","Cabo Frio","RJ","24440450"
"3ª Delegacia do Serviço Militar da 25ª C S M","3ª Del SM / 25ª CSM","RUA TABELIÃO ENEAS, 95","CENTRO","Quixada","CE","63900000"
